step,energy_H
0,0.5
1,0.43074187094364114
2,0.35986849839886714
3,0.2927073336215953
4,0.23780788639896516
5,0.19779010177996623
6,0.16855084232524797
7,0.14411035629095437
8,0.12114178091164596
9,0.09981808891724918
10,0.08175632466801876
11,0.0677560739527976
12,0.05712827266797462
13,0.048489651995445616
14,0.04082807837758396
15,0.033908622453036254
16,0.027961918753408737
17,0.02316957563592034
18,0.019415093255000525
19,0.01638215130822787
20,0.013784888757895675
21,0.011499153029686427
22,0.009530833680245798
23,0.00790755907121538
24,0.006605047684502566
25,0.0055493882894528885
26,0.004662436148760118
27,0.003897637967256031
28,0.003241814841199148
29,0.002694238647457757
30,0.002247361174336384
31,0.001882802035359409
